CustomerID,Country,IsB2B,Recence,Frequence,Montant,R_score,F_score,M_score,RFM_Score,Segment
12346,United Kingdom,True,346,1,77183.6,1,1,5,7,Clients Perdus
12347,Iceland,False,23,7,4310.0,5,5,5,15,Champions
12348,Finland,True,96,4,1797.24,2,4,4,10,Clients à Risque
12349,Italy,False,39,1,1757.55,4,1,4,9,Nouveaux Clients
12350,Norway,False,331,1,334.40000000000003,1,1,2,4,Clients Perdus
12352,Norway,False,57,8,2506.04,3,5,5,13,Clients Fidèles
12353,Bahrain,False,225,1,89.0,1,1,1,3,Clients Perdus
12354,Spain,False,253,1,1079.4,1,1,4,6,Clients Perdus
12355,Bahrain,False,235,1,459.4,1,1,2,4,Clients Perdus
12356,Portugal,False,43,3,2811.43,4,3,5,12,Clients Fidèles
12357,Switzerland,False,54,1,6207.67,3,1,5,9,Clients Moyens
12358,Austria,False,22,2,1168.06,5,2,4,11,Nouveaux Clients
12359,Cyprus,False,78,4,6372.58,3,4,5,12,Clients Fidèles
12360,Austria,False,73,3,2662.06,3,3,5,11,Clients Fidèles
12361,Belgium,False,308,1,189.9,1,1,1,3,Clients Perdus
12362,Belgium,False,24,10,5226.2300000000005,5,5,5,15,Champions
12363,Unspecified,False,130,2,552.0,2,2,3,7,Clients Moyens
12364,Belgium,False,28,4,1313.1,5,4,4,13,Champions
12365,Cyprus,False,312,2,641.38,1,2,3,6,Clients Perdus
12367,Denmark,False,25,1,168.9,5,1,1,7,Nouveaux Clients
12370,Cyprus,False,72,4,3545.69,3,4,5,12,Clients Fidèles
12371,Switzerland,False,65,2,1887.96,3,2,4,9,Clients Moyens
12372,Denmark,False,92,3,1298.04,3,3,4,10,Clients Fidèles
12373,Austria,False,332,1,364.6,1,1,2,4,Clients Perdus
12374,Austria,False,46,1,742.9300000000001,4,1,3,8,Nouveaux Clients
12375,Finland,False,31,2,457.5,5,2,2,9,Nouveaux Clients
12377,Switzerland,False,336,2,1628.12,1,2,4,7,Clients Perdus
12378,Switzerland,False,150,1,4008.62,2,1,5,8,Clients Moyens
12379,Belgium,False,102,2,852.24,2,2,3,7,Clients Moyens
12380,Belgium,False,42,4,2724.81,4,4,5,13,Champions
12381,Norway,False,25,5,1845.31,5,4,4,13,Champions
12383,Belgium,False,205,5,1850.56,1,4,4,9,Clients à Risque
12384,Switzerland,False,49,2,585.27,4,2,3,9,Nouveaux Clients
12386,Australia,False,358,2,401.9,1,2,2,5,Clients Perdus
12388,Australia,False,36,6,2780.6600000000003,4,4,5,13,Champions
12390,Belgium,False,100,1,549.84,2,1,3,6,Clients Moyens
12391,Cyprus,False,42,1,460.89,4,1,2,7,Nouveaux Clients
12393,Australia,False,93,4,1582.6,2,4,4,10,Clients à Risque
12394,Belgium,False,84,2,1272.48,3,2,4,9,Clients Moyens
12395,Belgium,False,40,12,3018.63,4,5,5,14,Champions
12397,Belgium,False,56,2,2409.9,3,2,5,10,Clients Moyens
12398,Switzerland,False,66,1,1635.66,3,1,4,8,Clients Moyens
12399,Belgium,False,140,4,1108.65,2,4,4,10,Clients à Risque
12401,Belgium,False,324,1,84.3,1,1,1,3,Clients Perdus
12402,Belgium,False,344,1,225.6,1,1,1,3,Clients Perdus
12403,Denmark,False,70,1,427.7,3,1,2,6,Clients Moyens
12405,Finland,False,169,1,1710.39,2,1,4,7,Clients Moyens
12406,Denmark,False,43,2,3415.3,4,2,5,11,Nouveaux Clients
12407,Belgium,False,70,5,1708.12,3,4,4,11,Clients Fidèles
12408,Belgium,False,53,5,2888.55,4,4,5,13,Champions
12409,Switzerland,False,99,3,11072.67,2,3,5,10,Clients à Risque
12410,Switzerland,False,329,2,693.33,1,2,3,6,Clients Perdus
12412,Denmark,False,95,3,1226.88,2,3,4,9,Clients à Risque
12413,France,False,87,3,758.1,3,3,3,9,Clients Fidèles
12414,Austria,False,238,3,562.4100000000001,1,3,3,7,Clients à Risque
12415,Australia,True,45,21,124914.53,4,5,5,14,Champions
12417,Belgium,False,24,9,3649.1,5,5,5,15,Champions
12418,Switzerland,False,133,1,668.58,2,1,3,6,Clients Moyens
12420,Cyprus,False,84,1,600.39,3,1,3,7,Clients Moyens
12421,Spain,False,36,4,807.04,4,4,3,11,Clients Fidèles
12422,Australia,False,116,3,803.5600000000001,2,3,3,8,Clients à Risque
12423,Belgium,False,21,8,1859.31,5,5,4,14,Champions
12424,Australia,False,183,2,1760.96,2,2,4,8,Clients Moyens
12425,Portugal,False,99,1,777.2,2,1,3,6,Clients Moyens
12426,Germany,False,215,1,582.73,1,1,3,5,Clients Perdus
12427,Germany,False,42,3,825.8000000000001,4,3,3,10,Clients Fidèles
12428,Finland,False,46,9,7956.46,4,5,5,14,Champions
12429,Denmark,False,30,4,3750.4,5,4,5,14,Champions
12430,Norway,False,64,1,256.4,3,1,2,6,Clients Moyens
12431,Australia,False,56,15,6487.45,3,5,5,13,Clients Fidèles
12432,Norway,False,63,5,5059.32,3,4,5,12,Clients Fidèles
12433,Norway,False,21,7,13375.87,5,5,5,15,Champions
12434,Australia,False,105,2,806.14,2,2,3,7,Clients Moyens
12435,Denmark,False,100,2,7829.89,2,2,5,9,Clients Moyens
12436,Norway,False,120,1,509.01,2,1,3,6,Clients Moyens
12437,France,False,22,18,4951.41,5,5,5,15,Champions
12438,Norway,False,35,2,2906.85,4,2,5,11,Nouveaux Clients
12441,France,False,387,1,173.55,1,1,1,3,Clients Perdus
12442,Spain,False,24,1,172.06,5,1,1,7,Nouveaux Clients
12444,Norway,False,42,5,5005.46,4,4,5,13,Champions
12445,Spain,False,43,1,133.4,4,1,1,6,Nouveaux Clients
12446,RSA,False,78,1,1002.31,3,1,4,8,Clients Moyens
12447,Belgium,False,264,1,476.49,1,1,2,4,Clients Perdus
12448,Spain,False,65,1,449.45,3,1,2,6,Clients Moyens
12449,Belgium,False,43,4,4067.29,4,4,5,13,Champions
12450,Spain,False,177,2,197.88,2,2,1,5,Clients Moyens
12451,Switzerland,False,31,5,9035.52,5,4,5,14,Champions
12452,Switzerland,False,37,2,430.5700000000001,4,2,2,8,Nouveaux Clients
12453,Austria,False,155,1,707.09,2,1,3,6,Clients Moyens
12454,Spain,False,77,1,3528.34,3,1,5,9,Clients Moyens
12455,Cyprus,False,94,6,2466.86,2,4,5,11,Clients à Risque
12456,Switzerland,False,65,3,3181.04,3,3,5,11,Clients Fidèles
12457,Switzerland,False,87,7,2363.23,3,5,5,13,Clients Fidèles
12458,Switzerland,False,92,2,947.4,3,2,4,9,Clients Moyens
