Date,DateKey,Annee,Trimestre,Mois,NomMois,Semaine,JourSemaine,EstWeekend
2010-12-01,20101201,2010,T4,12,Dec,48,Wednesday,False
2010-12-02,20101202,2010,T4,12,Dec,48,Thursday,False
2010-12-03,20101203,2010,T4,12,Dec,48,Friday,False
2010-12-04,20101204,2010,T4,12,Dec,48,Saturday,True
2010-12-05,20101205,2010,T4,12,Dec,48,Sunday,True
2010-12-06,20101206,2010,T4,12,Dec,49,Monday,False
2010-12-07,20101207,2010,T4,12,Dec,49,Tuesday,False
2010-12-08,20101208,2010,T4,12,Dec,49,Wednesday,False
2010-12-09,20101209,2010,T4,12,Dec,49,Thursday,False
2010-12-10,20101210,2010,T4,12,Dec,49,Friday,False
2010-12-11,20101211,2010,T4,12,Dec,49,Saturday,True
2010-12-12,20101212,2010,T4,12,Dec,49,Sunday,True
2010-12-13,20101213,2010,T4,12,Dec,50,Monday,False
2010-12-14,20101214,2010,T4,12,Dec,50,Tuesday,False
2010-12-15,20101215,2010,T4,12,Dec,50,Wednesday,False
2010-12-16,20101216,2010,T4,12,Dec,50,Thursday,False
2010-12-17,20101217,2010,T4,12,Dec,50,Friday,False
2010-12-18,20101218,2010,T4,12,Dec,50,Saturday,True
2010-12-19,20101219,2010,T4,12,Dec,50,Sunday,True
2010-12-20,20101220,2010,T4,12,Dec,51,Monday,False
2010-12-21,20101221,2010,T4,12,Dec,51,Tuesday,False
2010-12-22,20101222,2010,T4,12,Dec,51,Wednesday,False
2010-12-23,20101223,2010,T4,12,Dec,51,Thursday,False
2010-12-24,20101224,2010,T4,12,Dec,51,Friday,False
2010-12-25,20101225,2010,T4,12,Dec,51,Saturday,True
2010-12-26,20101226,2010,T4,12,Dec,51,Sunday,True
2010-12-27,20101227,2010,T4,12,Dec,52,Monday,False
2010-12-28,20101228,2010,T4,12,Dec,52,Tuesday,False
2010-12-29,20101229,2010,T4,12,Dec,52,Wednesday,False
2010-12-30,20101230,2010,T4,12,Dec,52,Thursday,False
2010-12-31,20101231,2010,T4,12,Dec,52,Friday,False
2011-01-01,20110101,2011,T1,1,Jan,52,Saturday,True
2011-01-02,20110102,2011,T1,1,Jan,52,Sunday,True
2011-01-03,20110103,2011,T1,1,Jan,1,Monday,False
2011-01-04,20110104,2011,T1,1,Jan,1,Tuesday,False
2011-01-05,20110105,2011,T1,1,Jan,1,Wednesday,False
2011-01-06,20110106,2011,T1,1,Jan,1,Thursday,False
2011-01-07,20110107,2011,T1,1,Jan,1,Friday,False
2011-01-08,20110108,2011,T1,1,Jan,1,Saturday,True
2011-01-09,20110109,2011,T1,1,Jan,1,Sunday,True
2011-01-10,20110110,2011,T1,1,Jan,2,Monday,False
2011-01-11,20110111,2011,T1,1,Jan,2,Tuesday,False
2011-01-12,20110112,2011,T1,1,Jan,2,Wednesday,False
2011-01-13,20110113,2011,T1,1,Jan,2,Thursday,False
2011-01-14,20110114,2011,T1,1,Jan,2,Friday,False
2011-01-15,20110115,2011,T1,1,Jan,2,Saturday,True
2011-01-16,20110116,2011,T1,1,Jan,2,Sunday,True
2011-01-17,20110117,2011,T1,1,Jan,3,Monday,False
2011-01-18,20110118,2011,T1,1,Jan,3,Tuesday,False
2011-01-19,20110119,2011,T1,1,Jan,3,Wednesday,False
2011-01-20,20110120,2011,T1,1,Jan,3,Thursday,False
2011-01-21,20110121,2011,T1,1,Jan,3,Friday,False
2011-01-22,20110122,2011,T1,1,Jan,3,Saturday,True
2011-01-23,20110123,2011,T1,1,Jan,3,Sunday,True
2011-01-24,20110124,2011,T1,1,Jan,4,Monday,False
2011-01-25,20110125,2011,T1,1,Jan,4,Tuesday,False
2011-01-26,20110126,2011,T1,1,Jan,4,Wednesday,False
2011-01-27,20110127,2011,T1,1,Jan,4,Thursday,False
2011-01-28,20110128,2011,T1,1,Jan,4,Friday,False
2011-01-29,20110129,2011,T1,1,Jan,4,Saturday,True
2011-01-30,20110130,2011,T1,1,Jan,4,Sunday,True
2011-01-31,20110131,2011,T1,1,Jan,5,Monday,False
2011-02-01,20110201,2011,T1,2,Feb,5,Tuesday,False
2011-02-02,20110202,2011,T1,2,Feb,5,Wednesday,False
2011-02-03,20110203,2011,T1,2,Feb,5,Thursday,False
2011-02-04,20110204,2011,T1,2,Feb,5,Friday,False
2011-02-05,20110205,2011,T1,2,Feb,5,Saturday,True
2011-02-06,20110206,2011,T1,2,Feb,5,Sunday,True
2011-02-07,20110207,2011,T1,2,Feb,6,Monday,False
2011-02-08,20110208,2011,T1,2,Feb,6,Tuesday,False
2011-02-09,20110209,2011,T1,2,Feb,6,Wednesday,False
2011-02-10,20110210,2011,T1,2,Feb,6,Thursday,False
2011-02-11,20110211,2011,T1,2,Feb,6,Friday,False
2011-02-12,20110212,2011,T1,2,Feb,6,Saturday,True
2011-02-13,20110213,2011,T1,2,Feb,6,Sunday,True
2011-02-14,20110214,2011,T1,2,Feb,7,Monday,False
2011-02-15,20110215,2011,T1,2,Feb,7,Tuesday,False
2011-02-16,20110216,2011,T1,2,Feb,7,Wednesday,False
2011-02-17,20110217,2011,T1,2,Feb,7,Thursday,False
2011-02-18,20110218,2011,T1,2,Feb,7,Friday,False
2011-02-19,20110219,2011,T1,2,Feb,7,Saturday,True
2011-02-20,20110220,2011,T1,2,Feb,7,Sunday,True
2011-02-21,20110221,2011,T1,2,Feb,8,Monday,False
2011-02-22,20110222,2011,T1,2,Feb,8,Tuesday,False
2011-02-23,20110223,2011,T1,2,Feb,8,Wednesday,False
2011-02-24,20110224,2011,T1,2,Feb,8,Thursday,False
2011-02-25,20110225,2011,T1,2,Feb,8,Friday,False
2011-02-26,20110226,2011,T1,2,Feb,8,Saturday,True
2011-02-27,20110227,2011,T1,2,Feb,8,Sunday,True
2011-02-28,20110228,2011,T1,2,Feb,9,Monday,False
2011-03-01,20110301,2011,T1,3,Mar,9,Tuesday,False
2011-03-02,20110302,2011,T1,3,Mar,9,Wednesday,False
2011-03-03,20110303,2011,T1,3,Mar,9,Thursday,False
2011-03-04,20110304,2011,T1,3,Mar,9,Friday,False
2011-03-05,20110305,2011,T1,3,Mar,9,Saturday,True
2011-03-06,20110306,2011,T1,3,Mar,9,Sunday,True
2011-03-07,20110307,2011,T1,3,Mar,10,Monday,False
2011-03-08,20110308,2011,T1,3,Mar,10,Tuesday,False
2011-03-09,20110309,2011,T1,3,Mar,10,Wednesday,False
2011-03-10,20110310,2011,T1,3,Mar,10,Thursday,False
2011-03-11,20110311,2011,T1,3,Mar,10,Friday,False
2011-03-12,20110312,2011,T1,3,Mar,10,Saturday,True
2011-03-13,20110313,2011,T1,3,Mar,10,Sunday,True
2011-03-14,20110314,2011,T1,3,Mar,11,Monday,False
2011-03-15,20110315,2011,T1,3,Mar,11,Tuesday,False
2011-03-16,20110316,2011,T1,3,Mar,11,Wednesday,False
2011-03-17,20110317,2011,T1,3,Mar,11,Thursday,False
2011-03-18,20110318,2011,T1,3,Mar,11,Friday,False
2011-03-19,20110319,2011,T1,3,Mar,11,Saturday,True
2011-03-20,20110320,2011,T1,3,Mar,11,Sunday,True
2011-03-21,20110321,2011,T1,3,Mar,12,Monday,False
2011-03-22,20110322,2011,T1,3,Mar,12,Tuesday,False
2011-03-23,20110323,2011,T1,3,Mar,12,Wednesday,False
2011-03-24,20110324,2011,T1,3,Mar,12,Thursday,False
2011-03-25,20110325,2011,T1,3,Mar,12,Friday,False
2011-03-26,20110326,2011,T1,3,Mar,12,Saturday,True
2011-03-27,20110327,2011,T1,3,Mar,12,Sunday,True
2011-03-28,20110328,2011,T1,3,Mar,13,Monday,False
2011-03-29,20110329,2011,T1,3,Mar,13,Tuesday,False
2011-03-30,20110330,2011,T1,3,Mar,13,Wednesday,False
2011-03-31,20110331,2011,T1,3,Mar,13,Thursday,False
2011-04-01,20110401,2011,T2,4,Apr,13,Friday,False
2011-04-02,20110402,2011,T2,4,Apr,13,Saturday,True
2011-04-03,20110403,2011,T2,4,Apr,13,Sunday,True
2011-04-04,20110404,2011,T2,4,Apr,14,Monday,False
2011-04-05,20110405,2011,T2,4,Apr,14,Tuesday,False
2011-04-06,20110406,2011,T2,4,Apr,14,Wednesday,False
2011-04-07,20110407,2011,T2,4,Apr,14,Thursday,False
2011-04-08,20110408,2011,T2,4,Apr,14,Friday,False
2011-04-09,20110409,2011,T2,4,Apr,14,Saturday,True
2011-04-10,20110410,2011,T2,4,Apr,14,Sunday,True
2011-04-11,20110411,2011,T2,4,Apr,15,Monday,False
2011-04-12,20110412,2011,T2,4,Apr,15,Tuesday,False
2011-04-13,20110413,2011,T2,4,Apr,15,Wednesday,False
2011-04-14,20110414,2011,T2,4,Apr,15,Thursday,False
2011-04-15,20110415,2011,T2,4,Apr,15,Friday,False
2011-04-16,20110416,2011,T2,4,Apr,15,Saturday,True
2011-04-17,20110417,2011,T2,4,Apr,15,Sunday,True
2011-04-18,20110418,2011,T2,4,Apr,16,Monday,False
2011-04-19,20110419,2011,T2,4,Apr,16,Tuesday,False
2011-04-20,20110420,2011,T2,4,Apr,16,Wednesday,False
2011-04-21,20110421,2011,T2,4,Apr,16,Thursday,False
2011-04-22,20110422,2011,T2,4,Apr,16,Friday,False
2011-04-23,20110423,2011,T2,4,Apr,16,Saturday,True
2011-04-24,20110424,2011,T2,4,Apr,16,Sunday,True
2011-04-25,20110425,2011,T2,4,Apr,17,Monday,False
2011-04-26,20110426,2011,T2,4,Apr,17,Tuesday,False
2011-04-27,20110427,2011,T2,4,Apr,17,Wednesday,False
2011-04-28,20110428,2011,T2,4,Apr,17,Thursday,False
2011-04-29,20110429,2011,T2,4,Apr,17,Friday,False
2011-04-30,20110430,2011,T2,4,Apr,17,Saturday,True
2011-05-01,20110501,2011,T2,5,May,17,Sunday,True
2011-05-02,20110502,2011,T2,5,May,18,Monday,False
2011-05-03,20110503,2011,T2,5,May,18,Tuesday,False
2011-05-04,20110504,2011,T2,5,May,18,Wednesday,False
2011-05-05,20110505,2011,T2,5,May,18,Thursday,False
2011-05-06,20110506,2011,T2,5,May,18,Friday,False
2011-05-07,20110507,2011,T2,5,May,18,Saturday,True
2011-05-08,20110508,2011,T2,5,May,18,Sunday,True
2011-05-09,20110509,2011,T2,5,May,19,Monday,False
2011-05-10,20110510,2011,T2,5,May,19,Tuesday,False
2011-05-11,20110511,2011,T2,5,May,19,Wednesday,False
2011-05-12,20110512,2011,T2,5,May,19,Thursday,False
2011-05-13,20110513,2011,T2,5,May,19,Friday,False
2011-05-14,20110514,2011,T2,5,May,19,Saturday,True
2011-05-15,20110515,2011,T2,5,May,19,Sunday,True
2011-05-16,20110516,2011,T2,5,May,20,Monday,False
2011-05-17,20110517,2011,T2,5,May,20,Tuesday,False
2011-05-18,20110518,2011,T2,5,May,20,Wednesday,False
2011-05-19,20110519,2011,T2,5,May,20,Thursday,False
2011-05-20,20110520,2011,T2,5,May,20,Friday,False
2011-05-21,20110521,2011,T2,5,May,20,Saturday,True
2011-05-22,20110522,2011,T2,5,May,20,Sunday,True
2011-05-23,20110523,2011,T2,5,May,21,Monday,False
2011-05-24,20110524,2011,T2,5,May,21,Tuesday,False
2011-05-25,20110525,2011,T2,5,May,21,Wednesday,False
2011-05-26,20110526,2011,T2,5,May,21,Thursday,False
2011-05-27,20110527,2011,T2,5,May,21,Friday,False
2011-05-28,20110528,2011,T2,5,May,21,Saturday,True
2011-05-29,20110529,2011,T2,5,May,21,Sunday,True
2011-05-30,20110530,2011,T2,5,May,22,Monday,False
2011-05-31,20110531,2011,T2,5,May,22,Tuesday,False
2011-06-01,20110601,2011,T2,6,Jun,22,Wednesday,False
2011-06-02,20110602,2011,T2,6,Jun,22,Thursday,False
2011-06-03,20110603,2011,T2,6,Jun,22,Friday,False
2011-06-04,20110604,2011,T2,6,Jun,22,Saturday,True
2011-06-05,20110605,2011,T2,6,Jun,22,Sunday,True
2011-06-06,20110606,2011,T2,6,Jun,23,Monday,False
2011-06-07,20110607,2011,T2,6,Jun,23,Tuesday,False
2011-06-08,20110608,2011,T2,6,Jun,23,Wednesday,False
2011-06-09,20110609,2011,T2,6,Jun,23,Thursday,False
2011-06-10,20110610,2011,T2,6,Jun,23,Friday,False
2011-06-11,20110611,2011,T2,6,Jun,23,Saturday,True
2011-06-12,20110612,2011,T2,6,Jun,23,Sunday,True
2011-06-13,20110613,2011,T2,6,Jun,24,Monday,False
2011-06-14,20110614,2011,T2,6,Jun,24,Tuesday,False
2011-06-15,20110615,2011,T2,6,Jun,24,Wednesday,False
2011-06-16,20110616,2011,T2,6,Jun,24,Thursday,False
2011-06-17,20110617,2011,T2,6,Jun,24,Friday,False
2011-06-18,20110618,2011,T2,6,Jun,24,Saturday,True
2011-06-19,20110619,2011,T2,6,Jun,24,Sunday,True
2011-06-20,20110620,2011,T2,6,Jun,25,Monday,False
2011-06-21,20110621,2011,T2,6,Jun,25,Tuesday,False
2011-06-22,20110622,2011,T2,6,Jun,25,Wednesday,False
2011-06-23,20110623,2011,T2,6,Jun,25,Thursday,False
2011-06-24,20110624,2011,T2,6,Jun,25,Friday,False
2011-06-25,20110625,2011,T2,6,Jun,25,Saturday,True
2011-06-26,20110626,2011,T2,6,Jun,25,Sunday,True
2011-06-27,20110627,2011,T2,6,Jun,26,Monday,False
2011-06-28,20110628,2011,T2,6,Jun,26,Tuesday,False
2011-06-29,20110629,2011,T2,6,Jun,26,Wednesday,False
2011-06-30,20110630,2011,T2,6,Jun,26,Thursday,False
2011-07-01,20110701,2011,T3,7,Jul,26,Friday,False
2011-07-02,20110702,2011,T3,7,Jul,26,Saturday,True
2011-07-03,20110703,2011,T3,7,Jul,26,Sunday,True
2011-07-04,20110704,2011,T3,7,Jul,27,Monday,False
2011-07-05,20110705,2011,T3,7,Jul,27,Tuesday,False
2011-07-06,20110706,2011,T3,7,Jul,27,Wednesday,False
2011-07-07,20110707,2011,T3,7,Jul,27,Thursday,False
2011-07-08,20110708,2011,T3,7,Jul,27,Friday,False
2011-07-09,20110709,2011,T3,7,Jul,27,Saturday,True
2011-07-10,20110710,2011,T3,7,Jul,27,Sunday,True
2011-07-11,20110711,2011,T3,7,Jul,28,Monday,False
2011-07-12,20110712,2011,T3,7,Jul,28,Tuesday,False
2011-07-13,20110713,2011,T3,7,Jul,28,Wednesday,False
2011-07-14,20110714,2011,T3,7,Jul,28,Thursday,False
2011-07-15,20110715,2011,T3,7,Jul,28,Friday,False
2011-07-16,20110716,2011,T3,7,Jul,28,Saturday,True
2011-07-17,20110717,2011,T3,7,Jul,28,Sunday,True
2011-07-18,20110718,2011,T3,7,Jul,29,Monday,False
2011-07-19,20110719,2011,T3,7,Jul,29,Tuesday,False
2011-07-20,20110720,2011,T3,7,Jul,29,Wednesday,False
2011-07-21,20110721,2011,T3,7,Jul,29,Thursday,False
2011-07-22,20110722,2011,T3,7,Jul,29,Friday,False
2011-07-23,20110723,2011,T3,7,Jul,29,Saturday,True
2011-07-24,20110724,2011,T3,7,Jul,29,Sunday,True
2011-07-25,20110725,2011,T3,7,Jul,30,Monday,False
2011-07-26,20110726,2011,T3,7,Jul,30,Tuesday,False
2011-07-27,20110727,2011,T3,7,Jul,30,Wednesday,False
2011-07-28,20110728,2011,T3,7,Jul,30,Thursday,False
2011-07-29,20110729,2011,T3,7,Jul,30,Friday,False
