Country,CA_Total,Nb_Clients_Total,Region
Australia,138521.31,38,Océanie
Austria,10198.68,17,Europe de l'Ouest
Bahrain,754.14,2,Moyen-Orient
Belgium,41196.340000000004,86,Europe de l'Ouest
Brazil,1143.6,1,Amérique du Sud
Canada,3666.38,5,Amérique du Nord
Channel Islands,20450.44,21,Europe du Nord
Cyprus,13590.38,14,Europe du Sud
Czech Republic,826.74,2,Europe de l'Est
Denmark,18955.34,18,Europe du Nord
EIRE,283453.96,29,Europe du Nord
European Community,1300.25,3,Europe
Finland,22546.079999999998,32,Europe du Nord
France,209715.11,299,Europe de l'Ouest
Germany,228867.14,334,Europe de l'Ouest
Greece,4760.5199999999995,5,Europe du Sud
Hong Kong,15691.800000000001,0,Autre
Iceland,4310.0,7,Europe du Nord
Israel,8135.260000000001,4,Moyen-Orient
Italy,17483.24,34,Europe du Sud
Japan,37416.369999999995,19,Asie
Lebanon,1693.88,1,Moyen-Orient
Lithuania,1661.06,1,Europe de l'Est
Malta,2725.5899999999997,4,Europe du Sud
Netherlands,285446.33999999997,33,Europe de l'Ouest
Norway,36165.44,26,Europe du Nord
Poland,7334.65,19,Europe de l'Est
Portugal,33747.1,45,Europe du Sud
RSA,1002.31,1,Afrique
Saudi Arabia,145.92,1,Moyen-Orient
Singapore,21279.29,4,Asie
Spain,61577.11,77,Europe du Sud
Sweden,38378.33,30,Europe du Nord
Switzerland,57089.9,42,Europe de l'Ouest
USA,3580.3899999999994,5,Amérique du Nord
United Arab Emirates,1902.28,2,Moyen-Orient
United Kingdom,9025222.084,11790,Europe du Nord
Unspecified,4749.79,7,Inconnu
