Year,Month,MonthName,Segment,CA,Nb_Clients,Nb_Factures,Label
2010,12,Dec,Champions,387493.97000000003,416,808,Dec 2010
2010,12,Dec,Clients Fidèles,65946.42,162,200,Dec 2010
2010,12,Dec,Clients Moyens,2426.41,9,9,Dec 2010
2010,12,Dec,Clients Perdus,39404.18,124,125,Dec 2010
2010,12,Dec,Clients à Risque,74713.66,165,249,Dec 2010
2010,12,Dec,Nouveaux Clients,2729.25,9,9,Dec 2010
2011,1,Jan,Champions,322811.58,359,551,Jan 2011
2011,1,Jan,Clients Fidèles,53078.29,136,159,Jan 2011
2011,1,Jan,Clients Moyens,2906.36,9,9,Jan 2011
2011,1,Jan,Clients Perdus,112159.41000000002,92,93,Jan 2011
2011,1,Jan,Clients à Risque,75997.39,140,170,Jan 2011
2011,1,Jan,Nouveaux Clients,2492.01,5,5,Jan 2011
2011,2,Feb,Champions,286267.44,347,534,Feb 2011
2011,2,Feb,Clients Fidèles,62200.7,147,169,Feb 2011
2011,2,Feb,Clients Moyens,5693.34,14,14,Feb 2011
2011,2,Feb,Clients Perdus,33142.26,98,100,Feb 2011
2011,2,Feb,Clients à Risque,59071.5,151,179,Feb 2011
2011,2,Feb,Nouveaux Clients,762.11,1,1,Feb 2011
2011,3,Mar,Champions,379739.65,430,713,Mar 2011
2011,3,Mar,Clients Fidèles,81875.08,183,217,Mar 2011
2011,3,Mar,Clients Moyens,8716.1,12,12,Mar 2011
2011,3,Mar,Clients Perdus,40871.86,138,139,Mar 2011
2011,3,Mar,Clients à Risque,82499.14,206,235,Mar 2011
2011,3,Mar,Nouveaux Clients,1798.93,5,5,Mar 2011
2011,4,Apr,Champions,260542.18,390,619,Apr 2011
2011,4,Apr,Clients Fidèles,75161.15,171,200,Apr 2011
2011,4,Apr,Clients Moyens,4033.96,10,10,Apr 2011
2011,4,Apr,Clients Perdus,34086.131,110,110,Apr 2011
2011,4,Apr,Clients à Risque,95094.06,174,209,Apr 2011
2011,4,Apr,Nouveaux Clients,282.88,1,1,Apr 2011
2011,5,May,Champions,436643.39,490,877,May 2011
2011,5,May,Clients Fidèles,102255.27,231,282,May 2011
2011,5,May,Clients Moyens,5357.21,13,13,May 2011
2011,5,May,Clients Perdus,47712.590000000004,102,104,May 2011
2011,5,May,Clients à Risque,86019.95,217,276,May 2011
2011,5,May,Nouveaux Clients,606.15,3,3,May 2011
2011,6,Jun,Champions,430247.05,462,785,Jun 2011
2011,6,Jun,Clients Fidèles,82031.08,211,244,Jun 2011
2011,6,Jun,Clients Moyens,24048.33,78,79,Jun 2011
2011,6,Jun,Clients Perdus,8174.72,34,34,Jun 2011
2011,6,Jun,Clients à Risque,114142.35,201,246,Jun 2011
2011,6,Jun,Nouveaux Clients,2570.16,5,5,Jun 2011
2011,7,Jul,Champions,395274.08,454,745,Jul 2011
2011,7,Jul,Clients Fidèles,92892.241,211,252,Jul 2011
2011,7,Jul,Clients Moyens,40020.25,102,105,Jul 2011
2011,7,Jul,Clients à Risque,68845.3,175,222,Jul 2011
2011,7,Jul,Nouveaux Clients,3059.14,7,7,Jul 2011
2011,8,Aug,Champions,440375.19,461,744,Aug 2011
2011,8,Aug,Clients Fidèles,81911.85,189,219,Aug 2011
2011,8,Aug,Clients Moyens,44024.79,94,94,Aug 2011
2011,8,Aug,Clients à Risque,76031.76,183,215,Aug 2011
2011,8,Aug,Nouveaux Clients,3000.31,8,8,Aug 2011
2011,9,Sep,Champions,640677.39,588,981,Sep 2011
2011,9,Sep,Clients Fidèles,121731.89,275,328,Sep 2011
2011,9,Sep,Clients Moyens,100723.901,201,205,Sep 2011
2011,9,Sep,Clients à Risque,86872.141,194,233,Sep 2011
2011,9,Sep,Nouveaux Clients,2833.06,8,8,Sep 2011
2011,10,Oct,Champions,630317.09,543,985,Oct 2011
2011,10,Oct,Clients Fidèles,292557.78,533,653,Oct 2011
2011,10,Oct,Clients Moyens,112286.81,279,282,Oct 2011
2011,10,Oct,Nouveaux Clients,4157.110000000001,9,9,Oct 2011
2011,11,Nov,Champions,867526.59,842,1682,Nov 2011
2011,11,Nov,Clients Fidèles,181857.72,514,657,Nov 2011
2011,11,Nov,Clients Moyens,23690.39,52,52,Nov 2011
2011,11,Nov,Nouveaux Clients,88742.68,256,266,Nov 2011
2011,12,Dec,Champions,292327.95,424,577,Dec 2011
2011,12,Dec,Clients Fidèles,200969.9,130,140,Dec 2011
2011,12,Dec,Nouveaux Clients,24894.94,61,61,Dec 2011
