InvoiceNo,CustomerID,Country,Year,Month,MonthName,Revenue,Nb_Lignes,DateKey,Segment,IsB2B
536365,17850,United Kingdom,2010,12,Dec,139.12,7,20101201,Clients à Risque,False
536366,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536367,13047,United Kingdom,2010,12,Dec,278.73,12,20101201,Champions,False
536368,13047,United Kingdom,2010,12,Dec,70.05,4,20101201,Champions,False
536369,13047,United Kingdom,2010,12,Dec,17.85,1,20101201,Champions,False
536370,12583,France,2010,12,Dec,855.86,20,20101201,Champions,False
536371,13748,United Kingdom,2010,12,Dec,204.0,1,20101201,Clients à Risque,False
536372,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536373,17850,United Kingdom,2010,12,Dec,259.86,16,20101201,Clients à Risque,False
536374,15100,United Kingdom,2010,12,Dec,350.4,1,20101201,Clients à Risque,False
536375,17850,United Kingdom,2010,12,Dec,259.86,16,20101201,Clients à Risque,False
536376,15291,United Kingdom,2010,12,Dec,328.8,2,20101201,Champions,False
536377,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536378,14688,United Kingdom,2010,12,Dec,444.98,19,20101201,Champions,False
536380,17809,United Kingdom,2010,12,Dec,34.8,1,20101201,Champions,False
536381,15311,United Kingdom,2010,12,Dec,449.98,35,20101201,Champions,False
536382,16098,United Kingdom,2010,12,Dec,430.6,12,20101201,Clients à Risque,False
536384,18074,United Kingdom,2010,12,Dec,489.6,13,20101201,Clients Perdus,False
536385,17420,United Kingdom,2010,12,Dec,130.85,7,20101201,Clients Fidèles,False
536386,16029,United Kingdom,2010,12,Dec,508.20000000000005,3,20101201,Clients Fidèles,True
536387,16029,United Kingdom,2010,12,Dec,3193.92,5,20101201,Clients Fidèles,True
536388,16250,United Kingdom,2010,12,Dec,226.14000000000001,14,20101201,Clients à Risque,False
536389,12431,Australia,2010,12,Dec,358.25,14,20101201,Clients Fidèles,False
536390,17511,United Kingdom,2010,12,Dec,1825.74,24,20101201,Champions,False
536392,13705,United Kingdom,2010,12,Dec,318.14,10,20101201,Clients Fidèles,False
536393,13747,United Kingdom,2010,12,Dec,79.6,1,20101201,Clients Perdus,False
536394,13408,United Kingdom,2010,12,Dec,1024.68,11,20101201,Champions,False
536395,13767,United Kingdom,2010,12,Dec,507.88,14,20101201,Champions,False
536396,17850,United Kingdom,2010,12,Dec,376.36,18,20101201,Clients à Risque,False
536397,17924,United Kingdom,2010,12,Dec,279.0,2,20101201,Champions,False
536398,13448,United Kingdom,2010,12,Dec,426.56,17,20101201,Champions,False
536399,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536400,13448,United Kingdom,2010,12,Dec,17.4,1,20101201,Champions,False
536401,15862,United Kingdom,2010,12,Dec,354.23,64,20101201,Clients Fidèles,False
536402,15513,United Kingdom,2010,12,Dec,357.0,3,20101201,Clients Fidèles,False
536403,12791,Netherlands,2010,12,Dec,192.60000000000002,2,20101201,Clients Perdus,False
536404,16218,United Kingdom,2010,12,Dec,471.3,28,20101201,Champions,False
536405,14045,United Kingdom,2010,12,Dec,326.4,1,20101201,Clients à Risque,True
536406,17850,United Kingdom,2010,12,Dec,353.14,17,20101201,Clients à Risque,False
536407,17850,United Kingdom,2010,12,Dec,22.2,2,20101201,Clients à Risque,False
536408,14307,United Kingdom,2010,12,Dec,783.11,48,20101201,Clients à Risque,False
536409,17908,United Kingdom,2010,12,Dec,243.28,58,20101201,Clients Perdus,False
536412,17920,United Kingdom,2010,12,Dec,514.41,81,20101201,Champions,False
536415,12838,United Kingdom,2010,12,Dec,390.79,59,20101201,Clients Moyens,False
536416,13255,United Kingdom,2010,12,Dec,225.7,6,20101201,Nouveaux Clients,False
536420,16583,United Kingdom,2010,12,Dec,233.45,14,20101201,Clients Perdus,False
536423,18085,United Kingdom,2010,12,Dec,303.9,9,20101201,Clients à Risque,False
536425,13758,United Kingdom,2010,12,Dec,362.45,17,20101201,Champions,False
